の,の,ノ
て,て,テ
に,に,ニ
は,は,ハ
だ,だ,ダ
た,た,タ
を,を,ヲ
が,が,ガ
と,と,ト
為る,する,スル
も,も,モ
で,で,デ
居る,いる,イル
有る,ある,アル
ます,ます,マス
です,です,デス
言う,いう,イウ
か,か,カ
事,こと,コト
ない,ない,ナイ
から,から,カラ
れる,れる,レル
成る,なる,ナル
無い,ない,ナイ
様,よう,ヨウ
其の,その,ソノ
一,一,イチ
ず,ず,ズ
物,もの,モノ
人,人,ヒト
其れ,それ,ソレ
御,お,オ
此の,この,コノ
二,二,ニ
的,的,テキ
ば,ば,バ
や,や,ヤ
来る,来る,コイ
思う,思う,オモウ
年,年,ネン
行く,いく,イク
三,三,サン
何,何,ナニ
見る,見る,ミル
良い,よい,ヨイ
出来る,できる,デキル
私鱻代名詞,わたくし,ワタクシ
時,時,トキ
者,者,シャ
そう,そう,ソウ
十,十,ジュウ
られる,られる,ラレル
此れ,これ,コレ
よ,よ,ヨ
方,方,ホウ
さん,さん,サン
など,など,ナド
ね,ね,ネ
中,中,チュウ
まで,まで,マデ
へ,へ,ヘ
五,五,ゴ
所,ところ,トコロ
拠る,よる,ヨル
達,たち,タチ
四,四,ヨン
為,ため,タメ
だけ,だけ,ダケ
どう,どう,ドウ
自分,自分,ジブン
日本,日本,ニッポン
てる,てる,テル
日,日,ヒ
せる,せる,セル
って,って,ッテ
又,また,マタ
等,等,トウ
後,あと,アト
仕舞う,しまう,シマウ
彼,彼,カレ
千,千,セン
たい,たい,タイ
つ,つ,ツ
分かる,わかる,ワカル
持つ,持つ,モツ
考える,考える,カンガエル
二十,二十,ニジュウ
今,今,イマ
六,六,ロク
月,月,ゲツ
遣る,やる,ヤル
な,な,ナ
目,目,メ
出る,出る,デル
場合,場合,バアイ
前,前,マエ
就く,つく,ツク
八,八,ハチ
たり,たり,タリ
七,七,ナナ
さ,さ,サ
上,うえ,ウエ
然し,しかし,シカシ
より,より,ヨリ
第,第,ダイ
取る,とる,トル
聞く,聞く,キク
けれど,けれど,ケレド
家,家,イエ
ながら,ながら,ナガラ
下さる,下さる,クダサル
気,気,キ
知る,知る,シル
九,九,キュウ
性,性,セイ
呉れる,くれる,クレル
内,うち,ウチ
九百,九百,キュウヒャク
三十,三十,サンジュウ
入る,入る,ハイル
置く,置く／おく,オク
使う,使う,ツカウ
他,他,タ／ホカ
子供,子ども,コドモ
そして,そして,ソシテ
間,間,アイダ
し,し,シ
ほど,ほど,ホド
もう,もう,モウ
其処,そこ,ソコ
問題,問題,モンダイ
訳,わけ,ワケ
対する,対する,タイスル
必要,必要,ヒツヨウ
度,度,ド
同じ,同じ,オナジ
此処,ここ,ココ
手,手,テ
多い,多い,オオイ
時間,時間,ジカン
くらい,くらい,クライ
於く,おく,オク
出す,出す,ダス
人間,人間,ニンゲン
化,化,カ
私,わたし,ワタシ
貴方,あなた,アナタ
万,万,マン
こう,こう,コウ
関係,関係,カンケイ
話,話,ハナシ
国,国,クニ
作る,つくる,ツクル
男,男,オトコ
百,百,ヒャク
社会,社会,シャカイ
そんな,そんな,ソンナ
僕,僕,ボク
行う,行う,オコナウ
顔,顔,カオ
五十,五十,ゴジュウ
知れる,知れる,シレル
次,次,ツギ
良く,よく,ヨク
べし,べし,ベシ
言葉,言葉,コトバ
円,円,エン
書く,書く,カク
付ける,つける,ツケル
子,子,コ
四十,四十,ヨンジュウ
意味,意味,イミ
侭,まま,ママ
力,力,チカラ
貰う,もらう,モラウ
教える,教える,オシエル
心,心,ココロ
掛ける,かける,カケル
大,大,ダイ
時代,時代,ジダイ
彼女,彼女,カノジョ
世界,世界,セカイ
得る,得る,エル
九十,九十,キュウジュウ
誰,だれ,ダレ
何時,いつ,イツ
何処,どこ,ドコ
女,女,オンナ
会社,会社,カイシャ
声,声,コエ
仕事,仕事,シゴト
分,分,フン
車,車,シャ
共,とも,トモ
歳,歳,サイ
見える,見える,ミエル
一人,一人,ヒトリ
皆,みな,ミナ
未だ,まだ,マダ
下,下,シタ
数,数,スウ
体,体,タイ
六十,六十,ロクジュウ
入れる,入れる,イレル
以上,以上,イジョウ
生活,生活,セイカツ
会,会,カイ
本,本,ホン
二人,二人,フタリ
八十,八十,ハチジュウ
頃,ころ,コロ
女性,女性,ジョセイ
少し,少し,スコシ
受ける,受ける,ウケル
金,カネ,カネ
先,先,サキ
法,法,ホウ
高い,高い,タカイ
不,不,フ
俺,おれ,オレ
しか,しか,シカ
更に,さらに,サラニ
